ts_iso,device,sound_raw,sound_adj,ts_ms_device
2025-10-30T05:08:54.677548,esp32-sound,66,16,6397599
2025-10-30T05:08:57.133119,esp32-sound,66,16,6399947
2025-10-30T05:08:59.693953,esp32-sound,66,16,6402618
2025-10-30T05:09:02.238578,esp32-sound,67,17,6404971
2025-10-30T05:09:04.800663,esp32-sound,65,15,6407528
2025-10-30T05:09:07.198961,esp32-sound,66,16,6410089
2025-10-30T05:09:09.525364,esp32-sound,66,16,6412436
2025-10-30T05:09:12.084240,esp32-sound,66,16,6414801
2025-10-30T05:09:14.573907,esp32-sound,66,16,6417361
2025-10-30T05:09:17.203485,esp32-sound,67,17,6420066
2025-10-30T05:09:19.554412,esp32-sound,66,16,6422482
2025-10-30T05:09:22.123733,esp32-sound,66,16,6424936
2025-10-30T05:09:24.574665,esp32-sound,66,16,6427394
2025-10-30T05:09:27.225948,esp32-sound,66,16,6429852
2025-10-30T05:09:29.694929,esp32-sound,66,16,6432514
2025-10-30T05:09:32.355288,esp32-sound,66,16,6434972
2025-10-30T05:09:35.075167,esp32-sound,67,17,6437632
2025-10-30T05:09:37.670233,esp32-sound,66,16,6440602
2025-10-30T05:09:39.919932,esp32-sound,66,16,6442882
2025-10-30T05:09:42.480014,esp32-sound,66,16,6445142
2025-10-30T05:09:45.883994,esp32-sound,66,16,6447701
2025-10-30T05:09:48.808606,esp32-sound,66,16,6451153
2025-10-30T05:09:51.932575,esp32-sound,66,16,6454228
2025-10-30T05:09:54.481464,esp32-sound,66,16,6457189
2025-10-30T05:09:57.040590,esp32-sound,66,16,6459854
2025-10-30T05:09:59.397181,esp32-sound,67,17,6462315
2025-10-30T05:10:01.753954,esp32-sound,66,16,6464671
2025-10-30T05:10:04.108510,esp32-sound,66,16,6467022
2025-10-30T05:10:06.547581,esp32-sound,66,16,6469380
2025-10-30T05:10:09.130775,esp32-sound,66,16,6471837
2025-10-30T05:10:11.905884,esp32-sound,66,16,6474497
2025-10-30T05:10:14.351771,esp32-sound,66,16,6477261
2025-10-30T05:10:16.905399,esp32-sound,66,16,6479724
2025-10-30T05:10:19.258253,esp32-sound,67,17,6482180
2025-10-30T05:10:21.615924,esp32-sound,67,17,6484483
2025-10-30T05:10:24.086273,esp32-sound,66,16,6486890
2025-10-30T05:10:26.521541,esp32-sound,66,16,6489351
